"CURRENT?","BRANCH","FIELDID","SITE_NAME","SITE_LOCAT","WATERBODY_","SWS","LONGITUD","LATITUDE","date GPS updated"
"True","U","Bell1","Bicentennial Park","7 Mile/Newburgh Rd","Bell Branch","M1","-83.39666","42.42924","SP 9_07"
"True","U","Bell2","Schoolcraft College","6 Mile/Haggerty","Bell Branch","U","-83.42","42.42","O'Connell 07"
"True","U","Bell3","Livonia","6 Mile/Farmington","Bell Branch","U","-83.39285","42.41015","SP 9_07"
"False","M","Bish1","Bishop Creek","11 Mile/Meadowbrook","Bishop Creek","M1","-83.45849","42.48137",""
"True","M","Bish2","Bishop Creek Scarborough","10 Mile/Meadowbrook - Scarborough Rd","Bishop Creek","M1","-83.45151","42.47131","SP 9_07"
"True","L","Fel1","Fellows Plymouth","Napier/Powell","Fellows Creek","L1","-83.53988","42.35729","BN 8_07"
"True","L","Fel2","South Fellows","Ford/Ridge","Fellows Creek","L1","-83.5246","42.31932","BN 8_07"
"True","L","Fel4","Flodin Pk","Saltz Rd, between Morton Taylor and Sheldon","Fellows Creek","L1","-83.46471","42.31346","BN 8_07"
"True","L","Fel5","Fellows-Lotz ","Lotz & Palmer","Fellows Creek","L1","-83.43581","42.29451","MB_07"
"False","MN","For1","FLOW","1200 Club Drive","Forest Lake Outlet","M1/2","-83.29017","42.59281",""
"False","MN","For2","ELJohnson","Johnson Nature Center (Franklin Rd/Long Lk)","Forest Lake Outlet","M1/2","-83.28372","42.59419",""
"True","L","Fowl1","Fowler Cr","Prospect/Cherry Hill","Fowler Creek","L1","-83.60516","42.30423","BN 8_07"
"True","L","Fowl2","Fowler-Beck Rd","Beck Road, N of Geddes, east side of Rd","Fowler Creek","L1","-83.50515","42.28226","BN 8_07"
"True","MN","Frank1","Franklin","Franklin Cider Mill (14 Mile/Franklin Rd)","Franklin Creek","M1/2","-83.30585","42.53024","SP 9_07"
"True","M","Ing1","Ingersoll Creek","Willowbrook/10 Mile (Brookfarm Park)","Ingersoll Creek","M","-83.44552","42.46293","SP 9_07"
"True","M","John1","JC 5M Salem","5 Mile/Salem","Johnson Creek","M1","-83.58194","42.3897","SP 9_07"
"True","M","John2","JC 5M NV","5 Mile/Ridge","Johnson Creek","M1","-83.5344","42.39424","SP 9_07"
"True","M","John3","JC 6M NV","6 Mile/Beck","Johnson Creek","M1","-83.51693","42.40844","SP 9_07"
"False","M","John4","Salem ES","6 Mile/Salem Rd","Johnson Creek","M1","-83.57736","42.40174",""
"True","M","John5","JC FH","Fish Hatchery Park","Johnson Creek","M1","-83.49289","42.4224","SP 9_07"
"True","M","John6","JC Hines","Hines/Sheldon","Johnson Creek","M1","-83.48138","42.42546","SP 9_07"
"True","M","John7","JC Arcadia","Arcadia, south of 6 Mile, west of Beck","Johnson Creek","M1","-83.52199","42.40528","ST_07"
"False","L","Low1","Lower Napier","Napier, 2nd stream N of Cherry Hill","Lower Rouge","L1","-83.54455","42.30938","BN 8_07"
"True","L","Low2","Lower Ridge","Cherry Hill/Ridge","Lower Rouge","L1","-83.53793","42.307241","MB_07"
"True","L","LR-1","Commerce Court","Michigan Ave, WCDOE Office","Lower Rouge","L2","-83.42027","42.280425","MB_07"
"True","L","LR-2","WTUA","Geddes/Beck, north, d/s of outfall E of Beck","Lower Rouge","L2","-83.503009","42.281962","MB_07"
"True","L","LR-3","Goudy Park","Park near Wayne and Michigan Ave","Lower Rouge","L2","-83.381855","42.284848","MB_07"
"True","L","LR-4","Merriman Road","Merriman and Michigan Avenue","Lower Rouge","L2","-83.3486","42.288775","MB_07"
"True","L","LR-5","Meadows of Canton","","Lower Rouge","L2","-83.428","42.2484","MB_07"
"True","L","LR-6","Wayne WDM site","","Lower Rouge","L2","-83.38389","42.285","MB_07"
"True","L","LR-7","Delaney Creek","","Lower Rouge","L2","-83.4248","42.2484","MB 07"
"True","L","LR-8","Ridge & Proctor
Warren & Beck","","Lower Rouge","L1","","",""
"True","L","LR-9","Warren & Beck","","Fellows Creek","","","",""
"True","MN","Main1","Firefighters Pk","Coolidge/I-75","Main Rouge","M1/2","-83.17984","42.60991","BN 8_07"
"False","MN","Main13","Parkland Park","Ann Arbor Trail & Warren, west of Evergreen","Main Rouge","M3/4","-83.250502","42.338283",""
"False","MN","Main15","Oxbow","Greenfield Village","Main Rouge","M3/4","-83.2197","42.3054",""
"False","MN","Main2","CAHN","Sq Lk/Coolidge","Main Rouge","M1/2","-83.17963","42.60398",""
"True","MN","Main3","Booth Park","Old Woodward/Euclid","Main Rouge","M1/2","-83.21774","42.54891","BN 8_07"
"True","MN","Main4","B'ham","15 Mile/Southfield","Main Rouge","M1/2","-83.22478","42.54242","BN 8_07"
"True","MN","Main4.5","Fairway Park","Lincoln/Southfield","Main Rouge","M1/2","-83.22861","42.53718","BN 8_07"
"True","MN","Main5","Douglas Evans","Evergreen/13 Mile","Main Rouge","M1/2","-83.24692","42.52219","BN 8_07"
"True","MN","Main6","Sfld","Civic Center Dr/Telegraph","Main Rouge","M1/2","-83.2845","42.47886","SP 9_07"
"False","MN","Main7","Beech & 10 M","Beech/Larkin","Main Rouge","M1/2","-83.29213","42.4673",""
"False","MN","Main9","Eliza Howell","Fenkell/Telegraph","Main Rouge","M3/4","-83.270929","42.399482",""
"True","M","Mid1","Northville Rec Area","Hines Drive","Middle Rouge","M1","-83.47546","4242177",""
"False","M","Mid2","Waterford Bend","Waterford Bend","Middle Rouge","M1","-83.47079","42.41054",""
"False","M","Mid3","Meads Mill","Hines betw 5 & 6 Mile","Middle Rouge","M1","-83.470343","42.403015",""
"False","M","Mid4","Maple Grove","S of Hines, east of Merriman","Middle Rouge","M1","-83.344493","42.338027",""
"False","M","Mid5","Haggerty & Hines","u/s Newburgh Lk","Middle Rouge","M1","-83.44381","42.3715",""
"False","M","Mid7","Nankin Mills","Hines/Farmington","Middle Rouge","M1","-83.37282","42.3497",""
"True","U","Min1","Minnow Pond","13 Mile/Farmington","Minnow Pond","U","-83.38905","42.51274","SP 9_07"
"True","M","MR-1","Northville Rec Area","Northville Rd/7 Mile","Middle Rouge","M1","-83.47712","42.42487","SP 9_07"
"True","M","MR-10","Parr Rec Area","Across from Wallaceville yard, S of Hines","Middle Rouge","M3","-83.27895","42.3471",""
"True","M","MR-11","Elm Grove","East of Nankin Mills, West of Valley View Rec Area","Middle Rouge","M3","-83.3629","42.34516","SP 9_07"
"True","M","MR-12","Hawthorn Valley","East of Merriman, West of Middlebelt Hill","Middle Rouge","M3","-83.34093","42.33975","SP 9_07"
"True","M","MR-13","Warrendale","Hines/Warren","Middle Rouge","M3","-83.26865","42.34432","SP 9_07"
"True","M","MR-14","Smith Elementary","Byron/McKinley","Tonquish Creek","M1","-83.47638","42.36027","MB"
"True","M","MR-15","Ford/Outer Dr","","Middle Rouge","M3","-83.2483","42.3306","MB"
"True","M","MR-16","Canoe Park","Tonquish","Tonquish Creek","M3","-83.375","42.3519","MB"
"True","M","MR-17","I-275 clam bar","West of I-275","Middle Rouge","M1","-83.437574","42.370466","MB"
"True","M","MR-2","Reservoir Road","S of 6 Mile, E of Hines","Middle Rouge","M1","-83.47076","42.408","SP 9_07"
"True","M","MR-2a","Reservoir Rd West","","Middle Rouge","M3","-83.4704","42.4089","MB"
"True","M","MR-3","Plymouth Riverside","S of Plymouth inside Plymouth Riverside","Middle Rouge","M1","-83.45532","42.37402","SP 9_07"
"True","M","MR-4","Levan Knoll","W of Levan Knoll, S of Hines","Middle Rouge","M3","-83.40406","42.36445","SP 9_07"
"True","M","MR-5","Valley View","E of Nankin, S of Hines","Middle Rouge","M3","-83.36118","42.34447","SP 9_07"
"True","M","MR-6","Sherwood","E of Merriman, N of Hines","Middle Rouge","M3","-83.33765","42.34132","SP 9_07"
"True","M","MR-7","Hills Drive","W of Middlebelt","Middle Rouge","M3","-83.32853","42.34286","SP 9_07"
"True","M","MR-8","Inkster Road","W of Inkster, S of Hines","Middle Rouge","M3","-83.31455","42.34893","SP 9_07"
"True","M","MR-9","Wallaceville","E of Beech Daly","Middle Rouge","M3","-83.29135","42.34732","SP 9_07"
"False","MN","Mur1","Hickory Grove ES","2800 Lahser","Murphy Creek","M1/2","-83.26673","42.59953",""
"True","MN","Mur2","Roeper School","41190 Woodward","Murphy Creek","M1/2","-83.25174","42.59375","BN 8_07"
"True","MN","Nott","Nottingham Creek","Country Day, Lahser/13 Mile","Nottingham Creek","M1/2","-83.264637","42.51149","SP 9_07"
"True","M","NTon","North Tonquish","Harvey & Penniman","Tonquish Creek","M1","-83.47572","42.37312","BN 8_07"
"True","MN","Peb1","Pebble Creek-Danvers","28314 Danvers Ct","Pebble Creek","M1/2","-83.32912","42.50133","SP 9_07"
"True","MN","Peb2","Pebble Creek 13 Mile","13 Mile/Middlebelt","Pebble Creek","M1/2","-83.34402","42.51521","SP 9_07"
"False","MN","Peb3","Pebble Creek North","Orchard Lk Rd, N of 13 Mile","Main Rouge","M1/2","-83.360061","42.520911",""
"False","MN","Qu1","Quarton Lk Inlet","Midland/Lakeside","Main Rouge","M1/2","-83.22668","42.55358",""
"False","MN","Rav1","Ravines ","11 Mile/Middlebelt","Ravines Branch","M1/2","-83.333133","42.4856",""
"False","U","See1","Seeley Creek","13 Mile/Haggerty","Seeley Drain","U","-83.4333","42.51145","SP 9_07"
"True","U","See2","Sleepy Hollow","Drake/11 Mile","Seeley Drain","U","-83.40099","42.48927","SP 9_07"
"True","MN","Sprag","Lloyd Stage","6685 Coolidge","Main Rouge","M1/2","-83.19174","42.61623","BN 8_07"
"False","U","Tar1","Tara Gill & Colfax","Gill/Colfax","Tarabusi Creek","U","-83.38626","42.44741",""
"True","U","Tar2","Tara 8 M","8 Mile/Gill","Tarabusi Creek","U","-83.38423","42.44108","SP 9_07"
"False","U","Tar3","Tara 7 M","7 Mile/Farmington Rd","Tarabusi Creek","U","-83.36309","42.42606",""
"True","M","Ton1","Plymouth Twp Pk","Beck/Ann Arbor Tr","Tonquish Creek","M1","-83.48895","42.367017","BN 8_07"
"True","M","Ton1/2","Canton Ctr","Canton Ctr Rd, N of Ann Arbor Rd","Middle Rouge","M1","-83.48939","42.36437","BN 8_07"
"True","M","Ton2","Tonquish-Ann Arbor Rd","Ann Arbor Rd/Lilley","Tonquish Creek","M1","-83.46507","42.35809","BN 8_07"
"False","M","Ton5","Hix Park","Hix & Warren","Tonquish Creek","M1","-83.418878","42.334301",""
"False","M","Trues1","Truesdell Creek","Cherry Hill/Lilley","Truesdell Creek","L1","-83.460155","42.300718",""
"True","U","Up1","Heritage Pk","Farmington/10 Mile","Upper Rouge","U","-83.38567","42.47526","SP 9_07"
"True","U","Up2","Shiawassee Pk","Shiawassee/Power","Upper Rouge","U","-83.36811","42.46323",""
"False","U","Up4","Lola Valley North","Beech Daly/Pomona","Upper Rouge","U","-83.306071","42.411242",""
"False","U","Up5","Lola Valley","5 Mile/Pomona","Upper Rouge","U","-83.28587","42.39959",""
"False","U","Up6","Arby's","5 Mile/Telegraph","Upper Rouge","U","-83.27839","42.39701",""
"False","U","Up7","Eliza Howell","5 Mile/Telegraph","Upper Rouge","U","-83.273734","42.39066",""
"True","U","UR-1","Lola Valley","Lola","Upper Rouge","U","-83.3029","42.4111","MB_07"
"True","M","Wall0","Parmenter's Cider Mille","Old Baseline/ Old Novi Rd","Walled Lk Drainage","M1","-83.47369","42.43673","SP 9_07"
"True","M","Wall1","Rotary Park","9 Mile/Meadowbrook","Walled Lk Drainage","M1","-83.46525","42.44957","SP 9_07"
"True","M","Wall2","WL 10 M","10 Mile/Novi","Walled Lk Drainage","M1","-83.46623","42.46732","SP 9_07"
"True","M","Wall3","12 Mile","12 Mile/Taft","Walled Lk Drainage","M1","-83.49575","42.49486","SP 9_07"
"True","M","Wall4","Ford Field","Northville/Main Street","Walled Lk Drainage","M1","-83.48056","42.43354","SP 9_07"
"False","M","Wall5","Lakeshore Park","13 Mile/Novi Rd","Walled Lk Drainage","M1","-83.485786","42.509035",""
"True","M","Will1","Willow Cr","Barchester Pk, Ford/Lilley","Willow Creek","M1","-83.464221","42.33002","BN 8_07"
