,FIELDID,Year,Latitude,Longitude,Species per Year
0,Bell1,2016,42.42924,-83.39666,10
1,Bell4,2016,42.40327,-83.36237,10
2,Bell4,2022,42.40327,-83.36237,8
3,Bish2,2017,42.47131,-83.45151,8
4,Bish2,2022,42.47131,-83.45151,7
5,CL,2017,42.434131,-83.46284,6
6,DNRFel,2022,42.32336,-83.48854,10
7,Evan2,2016,42.472955,-83.247905,6
8,Evan2,2022,42.472955,-83.247905,5
9,Evan3,2018,42.459278,-83.268639,5
10,Evan4,2020,42.443871,-83.269766,6
11,Evan5,2021,42.467809,-83.2616187,3
12,Evan5,2022,42.467809,-83.2616187,5
13,Evan6,2022,42.469335,-83.244996,2
14,FLOW2,2016,42.58359,-83.27364,4
15,Fel1,2013,42.35729,-83.53988,10
16,Fel1,2014,42.35729,-83.53988,9
17,Fel3,2013,42.349854,-83.540557,9
18,Fel3,2014,42.349854,-83.540557,11
19,Fel4,2013,42.31346,-83.46471,13
20,Fel4,2014,42.31346,-83.46471,9
21,Fel4,2015,42.31346,-83.46471,11
22,Fel4,2022,42.31346,-83.46471,11
23,Fel5,2013,42.335263,-83.539831,7
24,Fel5,2014,42.335263,-83.539831,11
25,Fel6,2013,42.328188,-83.532192,12
26,Fel6,2014,42.328188,-83.532192,11
27,Fel6,2015,42.328188,-83.532192,12
28,Fel6,2022,42.328188,-83.532192,6
29,Fowl1,2013,42.30423,-83.60516,12
30,Fowl1,2014,42.30423,-83.60516,13
31,Fowl2,2013,42.28226,-83.50515,8
32,Fowl2,2014,42.28226,-83.50515,13
33,Fowl2,2016,42.28226,-83.50515,15
34,Fowl2,2017,42.28226,-83.50515,16
35,Fowl2,2018,42.28226,-83.50515,10
36,Fowl2,2019,42.28226,-83.50515,13
37,Fowl2,2020,42.28226,-83.50515,14
38,Fowl2,2021,42.28226,-83.50515,11
39,Fowl2,2022,42.28226,-83.50515,17
40,Fowl3,2013,42.297437,-83.584549,11
41,Fowl3,2014,42.297437,-83.584549,10
42,Fowl4,2015,42.2755623,-83.553772,8
43,Fowl4,2021,42.2755623,-83.553772,13
44,Fowl4,2022,42.2755623,-83.553772,10
45,Fowl5,2015,42.2802935,-83.5254264,12
46,Fowl5,2016,42.2802935,-83.5254264,11
47,Fowl5,2017,42.2802935,-83.5254264,12
48,Fowl5,2018,42.2802935,-83.5254264,10
49,Fowl5,2019,42.2802935,-83.5254264,10
50,Fowl5,2020,42.2802935,-83.5254264,15
51,Fowl5,2021,42.2802935,-83.5254264,12
52,Fowl5,2022,42.2802935,-83.5254264,13
53,Fowl6,2018,42.303202,-83.608035,7
54,Frank1,2015,42.53024,-83.30585,5
55,Frank1,2022,42.53024,-83.30585,7
56,Frank2,2015,42.529325,-83.325381,7
57,Frank3,2016,42.56567,-83.38011,9
58,Frank4,2016,42.56574,-83.37964,11
59,Frank4,2021,42.56574,-83.37964,11
60,Frank5,2016,42.5654,-83.38219,3
61,Frank6,2016,42.5653611,-83.3735027,8
62,Frank6,2017,42.5653611,-83.3735027,7
63,Frank7,2017,42.55605,-83.3548,7
64,Frank8,2017,42.564393,-83.3754668,8
65,GilbL,2020,42.560939,-83.278472,9
66,HamL,2018,42.6066819,-83.3223617,13
67,Ing1,2015,42.46293,-83.44552,8
68,John1,2012,42.3897,-83.58194,16
69,John1,2022,42.3897,-83.58194,14
70,John10,2022,42.3971408,-83.5293057,12
71,John2,2012,42.3938201,-83.5342002,13
72,John2,2018,42.3938201,-83.5342002,14
73,John2,2021,42.3938201,-83.5342002,12
74,John2,2022,42.3938201,-83.5342002,10
75,John3,2012,42.40844,-83.51693,11
76,John3,2018,42.40844,-83.51693,10
77,John5,2012,42.4224,-83.49289,11
78,John6,2012,42.42546,-83.48138,12
79,John6,2018,42.42546,-83.48138,13
80,John6,2020,42.42546,-83.48138,8
81,John6,2021,42.42546,-83.48138,4
82,John6,2022,42.42546,-83.48138,13
83,John7,2012,42.3985716,-83.5279588,14
84,John8,2012,42.42148,-83.54396,9
85,John9,2012,42.38066,-83.545192,13
86,JohnRHS,2012,42.42611,-83.486667,4
87,JohnRHS,2018,42.42611,-83.486667,12
88,JohnSWD,2012,42.392444,-83.595278,5
89,LR-1,2012,42.280425,-83.42027,8
90,LR-1,2013,42.280425,-83.42027,11
91,LR-1,2014,42.280425,-83.42027,10
92,LR-1,2015,42.280425,-83.42027,12
93,LR-1,2016,42.280425,-83.42027,12
94,LR-1,2017,42.280425,-83.42027,15
95,LR-10,2012,42.298506,-83.305839,10
96,LR-10,2013,42.298506,-83.305839,6
97,LR-10,2014,42.298506,-83.305839,11
98,LR-10,2015,42.298506,-83.305839,18
99,LR-10,2016,42.298506,-83.305839,14
100,LR-10,2017,42.298506,-83.305839,18
101,LR-10,2018,42.298506,-83.305839,18
102,LR-10,2019,42.298506,-83.305839,11
103,LR-10,2020,42.298506,-83.305839,12
104,LR-10,2021,42.298506,-83.305839,9
105,LR-10,2022,42.298506,-83.305839,12
106,LR-11,2007,42.309888,-83.24854,1
107,LR-11,2013,42.309888,-83.24854,10
108,LR-11,2015,42.309888,-83.24854,14
109,LR-11A,2014,42.3125679,-83.2415233,17
110,LR-11A,2015,42.3125679,-83.2415233,17
111,LR-11A,2016,42.3125679,-83.2415233,20
112,LR-11A,2017,42.3125679,-83.2415233,16
113,LR-11A,2018,42.3125679,-83.2415233,18
114,LR-11A,2019,42.3125679,-83.2415233,16
115,LR-11A,2020,42.3125679,-83.2415233,14
116,LR-11A,2021,42.3125679,-83.2415233,12
117,LR-11A,2022,42.3125679,-83.2415233,16
118,LR-12,2013,42.282317,-83.466103,18
119,LR-12,2014,42.282317,-83.466103,13
120,LR-12,2015,42.282317,-83.466103,19
121,LR-12,2016,42.282317,-83.466103,17
122,LR-12,2017,42.282317,-83.466103,15
123,LR-12,2018,42.282317,-83.466103,12
124,LR-12,2019,42.282317,-83.466103,12
125,LR-12,2020,42.282317,-83.466103,14
126,LR-12,2021,42.282317,-83.466103,12
127,LR-12,2022,42.282317,-83.466103,18
128,LR-2,2013,42.281962,-83.503009,14
129,LR-2,2014,42.281962,-83.503009,10
130,LR-2,2016,42.281962,-83.503009,15
131,LR-2,2017,42.281962,-83.503009,13
132,LR-2,2018,42.281962,-83.503009,11
133,LR-2,2019,42.281962,-83.503009,15
134,LR-2,2020,42.281962,-83.503009,7
135,LR-2,2021,42.281962,-83.503009,11
136,LR-2,2022,42.281962,-83.503009,15
137,LR-3,2015,42.284848,-83.381855,8
138,LR-5,2013,42.300561,-83.4374797,16
139,LR-5,2014,42.300561,-83.4374797,12
140,LR-5,2015,42.300561,-83.4374797,11
141,LR-5,2016,42.300561,-83.4374797,11
142,LR-5,2022,42.300561,-83.4374797,10
143,LR-6,2013,42.285,-83.383888,14
144,LR-6,2014,42.285,-83.383888,11
145,LR-6,2022,42.285,-83.383888,15
146,LR-8,2013,42.295976,-83.541846,10
147,LR-8,2014,42.295976,-83.541846,12
148,Low10,2015,42.286124,-83.48359,13
149,Low10,2016,42.286124,-83.48359,14
150,Low10,2017,42.286124,-83.48359,11
151,Low11,2015,42.2972147,-83.5254371,13
152,Low11,2016,42.2972147,-83.5254371,13
153,Low11,2017,42.2972147,-83.5254371,15
154,Low11,2018,42.2972147,-83.5254371,14
155,Low11,2019,42.2972147,-83.5254371,13
156,Low11,2020,42.2972147,-83.5254371,17
157,Low11,2021,42.2972147,-83.5254371,14
158,Low11,2022,42.2972147,-83.5254371,14
159,Low13,2021,42.2876032,-83.3592921,6
160,Low14,2022,42.302104,-83.270312,15
161,Low2,2013,42.30724,-83.53793,13
162,Low2,2014,42.30724,-83.53793,13
163,Low2,2022,42.30724,-83.53793,5
164,Low3,2013,42.3227,-83.565967,9
165,Low3,2014,42.3227,-83.565967,6
166,Low4,2013,42.2866039,-83.4756605,10
167,Low4,2014,42.2866039,-83.4756605,11
168,Low4,2015,42.2866039,-83.4756605,21
169,Low4,2016,42.2866039,-83.4756605,13
170,Low4,2017,42.2866039,-83.4756605,12
171,Low4,2018,42.2866039,-83.4756605,10
172,Low5,2013,42.282389,-83.437141,9
173,Low5,2014,42.282389,-83.437141,9
174,Low5,2015,42.282389,-83.437141,12
175,Low5,2016,42.282389,-83.437141,13
176,Low5,2017,42.282389,-83.437141,12
177,Low5,2018,42.282389,-83.437141,16
178,Low6,2013,42.282611,-83.407008,10
179,Low6,2014,42.282611,-83.407008,9
180,Low6,2015,42.282611,-83.407008,18
181,Low6,2016,42.282611,-83.407008,13
182,Low6,2017,42.282611,-83.407008,11
183,Low7,2013,42.283278,-83.397352,11
184,Low7,2014,42.283278,-83.397352,9
185,Low7,2015,42.283278,-83.397352,14
186,Low7,2016,42.283278,-83.397352,13
187,Low7,2017,42.283278,-83.397352,16
188,Low7,2018,42.283278,-83.397352,16
189,Low7,2019,42.283278,-83.397352,14
190,Low7,2020,42.283278,-83.397352,12
191,Low8,2013,42.285374,-83.388726,11
192,Low8,2014,42.285374,-83.388726,13
193,Low8,2015,42.285374,-83.388726,10
194,Low8,2016,42.285374,-83.388726,13
195,Low8,2017,42.285374,-83.388726,14
196,Low9,2015,42.283461,-83.505311,9
197,Low9,2016,42.283461,-83.505311,10
198,Low9,2017,42.283461,-83.505311,12
199,Low9,2018,42.283461,-83.505311,14
200,Low9,2019,42.283461,-83.505311,13
201,Low9,2020,42.283461,-83.505311,12
202,Low9,2021,42.283461,-83.505311,14
203,Low9,2022,42.283461,-83.505311,13
204,MN-2,2016,42.399722,-83.271389,3
205,MN-2,2017,42.399722,-83.271389,10
206,MN-2,2020,42.399722,-83.271389,5
207,MN-2,2022,42.399722,-83.271389,4
208,MN-5,2016,42.443614,-83.284906,8
209,MN-5,2017,42.443614,-83.284906,13
210,MN-5,2022,42.443614,-83.284906,9
211,MN-6,2018,42.431922,-83.271534,5
212,MN-7,2016,42.348736,-83.24721,5
213,MN-7,2017,42.348736,-83.24721,3
214,MN-7A,2017,42.3460164,-83.2470989,9
215,MN-7A,2020,42.3460164,-83.2470989,8
216,MN-7A,2021,42.3460164,-83.2470989,8
217,MN-7A,2022,42.3460164,-83.2470989,14
218,MR-11,2014,42.34516,-83.3629,5
219,MR-11,2015,42.34516,-83.3629,6
220,MR-11,2016,42.34516,-83.3629,8
221,MR-11,2022,42.34516,-83.3629,10
222,MR-12,2015,42.33975,-83.34093,12
223,MR-12,2016,42.33975,-83.34093,8
224,MR-12,2021,42.33975,-83.34093,9
225,MR-13,2014,42.34432,-83.26865,6
226,MR-13,2015,42.34432,-83.26865,8
227,MR-13,2016,42.34432,-83.26865,7
228,MR-15,2016,42.3306,-83.2483,6
229,MR-15,2022,42.3306,-83.2483,10
230,MR-16,2015,42.3519,-83.375,4
231,MR-17,2015,42.370466,-83.437574,10
232,MR-17,2016,42.370466,-83.437574,11
233,MR-17,2017,42.370466,-83.437574,8
234,MR-18,2015,42.390248,-83.466365,13
235,MR-18,2021,42.390248,-83.466365,5
236,MR-18,2022,42.390248,-83.466365,13
237,MR-20,2015,42.411952,-83.471703,12
238,MR-22,2012,42.43033,-83.544423,8
239,MR-4,2014,42.36445,-83.40406,7
240,MR-4,2015,42.36445,-83.40406,18
241,MR-4,2016,42.36445,-83.40406,7
242,MR-4,2021,42.36445,-83.40406,6
243,MR-4,2022,42.36445,-83.40406,10
244,MR-8,2015,42.34893,-83.31455,9
245,MR-8,2016,42.34893,-83.31455,9
246,MR-8,2021,42.34893,-83.31455,11
247,MR-9,2015,42.34732,-83.29135,8
248,MR-9,2016,42.34732,-83.29135,9
249,MR-9,2022,42.34732,-83.29135,10
250,Main1,2016,42.60991,-83.17984,15
251,Main1,2020,42.60991,-83.17984,14
252,Main1,2021,42.60991,-83.17984,6
253,Main10,2011,42.312949,-83.232347,9
254,Main10,2013,42.312949,-83.232347,19
255,Main10,2014,42.312949,-83.232347,16
256,Main10,2016,42.312949,-83.232347,12
257,Main10,2022,42.312949,-83.232347,18
258,Main11,2016,42.554445,-83.226312,9
259,Main11,2022,42.554445,-83.226312,9
260,Main12,2017,42.304944,-83.219585,17
261,Main12,2019,42.304944,-83.219585,12
262,Main12,2020,42.304944,-83.219585,18
263,Main12,2022,42.304944,-83.219585,15
264,Main12N,2017,42.30589,-83.221978,8
265,Main12N,2019,42.30589,-83.221978,12
266,Main12N,2020,42.30589,-83.221978,18
267,Main12N,2022,42.30589,-83.221978,13
268,Main13,2016,42.59005,-83.18976,11
269,Main13,2018,42.59005,-83.18976,12
270,Main13,2022,42.59005,-83.18976,10
271,Main14,2016,42.33082,-83.24434,5
272,Main14,2017,42.33082,-83.24434,6
273,Main15,2017,42.5642705,-83.2122517,10
274,Main16,2017,42.5698649,-83.2571411,10
275,Main17,2017,42.4957582,-83.2765335,12
276,Main17,2021,42.4957582,-83.2765335,13
277,Main18,2017,42.581007,-83.197579,13
278,Main18,2018,42.581007,-83.197579,10
279,Main18,2022,42.581007,-83.197579,9
280,Main19,2018,42.456957,-83.305917,13
281,Main19,2022,42.456957,-83.305917,10
282,Main20,2020,42.33006,-83.2415,13
283,Main20,2021,42.33006,-83.2415,10
284,Main20,2022,42.33006,-83.2415,8
285,Main21,2022,42.307632,-83.220396,4
286,Main3,2016,42.5487974,-83.2177051,10
287,Main3,2022,42.5487974,-83.2177051,7
288,Main4.5,2016,42.53718,-83.22861,9
289,Main5,2016,42.52219,-83.24692,14
290,Main5,2018,42.52219,-83.24692,13
291,Main5,2022,42.52219,-83.24692,12
292,Main6,2015,42.47882,-83.284548,11
293,Main6,2022,42.47882,-83.284548,18
294,Main8,2012,42.29352,-83.14873,16
295,Mid4,2014,42.366466,-83.423351,5
296,Min2,2012,42.493065,-83.37734,13
297,Min2,2022,42.493065,-83.37734,10
298,Min3,2012,42.500565,-83.37127,9
299,Min3A,2012,42.50056,-83.3732,10
300,Min4,2012,42.526938,-83.421444,11
301,Min5,2012,42.510799,-83.378381,12
302,Mur2,2016,42.59375,-83.25174,5
303,Nott,2016,42.51149,-83.26463,10
304,Nott2,2019,42.527109,-83.267861,5
305,Nott2,2021,42.527109,-83.267861,5
306,Peb2,2016,42.51521,-83.34402,8
307,Peb2,2017,42.51521,-83.34402,7
308,Peb2,2022,42.51521,-83.34402,5
309,Peb3,2016,42.500849,-83.324474,8
310,Peb4,2016,42.4716,-83.30391,11
311,Peb5,2017,42.521306,-83.357611,10
312,Rav,2016,42.47027,-83.33097,8
313,See2,2012,42.48927,-83.40099,10
314,See3,2012,42.51073,-83.4304,13
315,See3,2018,42.51073,-83.4304,10
316,See3,2020,42.51073,-83.4304,14
317,See3,2022,42.51073,-83.4304,14
318,See4,2012,42.516904,-83.436534,6
319,SeeBosch,2012,42.491667,-83.421528,11
320,SeeSTO,2012,42.527377,-83.450018,1
321,SimpL,2018,42.6066819,-83.3223617,12
322,Sprag,2016,42.6159714,-83.1920726,8
323,Tar2,2016,42.441084,-83.38423,11
324,Tar2,2022,42.441084,-83.38423,8
325,Ton1,2015,42.36701,-83.49895,10
326,Ton1,2022,42.36701,-83.49895,7
327,Ton3,2015,42.334626,-83.418158,10
328,Ton3,2022,42.334626,-83.418158,8
329,ULL,2017,42.597873,-83.315586,15
330,ULL,2018,42.597873,-83.315586,13
331,ULL,2020,42.597873,-83.315586,15
332,UR-1,2016,42.4111,-83.3029,10
333,UR-1,2019,42.4111,-83.3029,11
334,UR-1,2022,42.4111,-83.3029,10
335,UR-2,2016,42.401803,-83.310759,6
336,UR-2,2021,42.401803,-83.310759,7
337,UR-2,2022,42.401803,-83.310759,8
338,UR-4,2021,42.400014,-83.286158,5
339,Up1,2012,42.47526,-83.3854501,12
340,Up1,2013,42.47526,-83.3854501,1
341,Up1,2016,42.47526,-83.3854501,1
342,Up1,2018,42.47526,-83.3854501,10
343,Up1,2019,42.47526,-83.3854501,9
344,Up1,2021,42.47526,-83.3854501,11
345,Up1,2022,42.47526,-83.3854501,13
346,Up2,2012,42.4632161,-83.3682334,12
347,Up2,2013,42.4632161,-83.3682334,14
348,Up2,2020,42.4632161,-83.3682334,14
349,Up3,2016,42.43659,-83.32475,7
350,Up3,2017,42.43659,-83.32475,13
351,Up4,2013,42.40314,-83.28834,12
352,Up5,2017,42.4497368,-83.3481324,12
353,Wall1,2015,42.44957,-83.46525,13
354,Wall2,2015,42.46732,-83.46623,8
355,Wall2,2022,42.46732,-83.46623,6
356,Wall3,2015,42.49486,-83.49575,9
357,Wall7,2017,42.50915,-83.49562,9
358,WalnutL,2018,42.5666,-83.32563,10
359,Will1,2015,42.33002,-83.46422,6
360,Will1,2022,42.33002,-83.46422,8
361,WingL,2018,42.5553406,-83.2955074,11
